City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,Puerto Gaitan,15.7432,-96.4661,73.81,92,66,3.62,MX,2021-06-19 08:06:01
181,Puerto Gaitan,50.2981,103.3097,75.81,29,92,3.67,RU,2021-06-19 08:07:50
182,Puerto Gaitan,-2.0833,101.3833,78.67,50,70,5.55,ID,2021-06-19 08:07:50
183,Puerto Gaitan,53.2948,-3.7267,63.75,76,94,8.99,GB,2021-06-19 08:07:50
184,Puerto Gaitan,-31.9,152.4667,57.06,93,100,11.83,AU,2021-06-19 08:07:50
185,Puerto Gaitan,41.1436,35.4547,79.29,51,0,2.15,TR,2021-06-19 08:07:51
186,Puerto Gaitan,51.226,-58.6502,49.73,87,61,9.04,CA,2021-06-19 08:06:30
187,Puerto Gaitan,-18.9181,-54.8442,62.96,72,2,1.43,BR,2021-06-19 08:07:51
188,Puerto Gaitan,28.6453,70.6567,107.02,19,0,3.89,PK,2021-06-19 08:07:51
189,Puerto Gaitan,69.4541,-133.0374,47.28,57,100,14.81,CA,2021-06-19 08:06:06
190,Puerto Gaitan,78.2186,15.6401,35.44,80,75,25.32,SJ,2021-06-19 08:07:03
191,Puerto Gaitan,37.4636,-122.4286,72.9,82,1,1.01,US,2021-06-19 08:07:46
192,Puerto Gaitan,53.5739,142.9478,56.46,53,34,5.55,RU,2021-06-19 08:07:05
193,Puerto Gaitan,3.0707,172.7902,83.1,71,42,5.21,KI,2021-06-19 08:06:14
194,Puerto Gaitan,-5.0892,-81.1144,66.76,84,77,12.53,PE,2021-06-19 08:07:52
195,Puerto Gaitan,42.9019,133.9064,54.07,93,100,12.35,RU,2021-06-19 08:07:52
196,Puerto Gaitan,68.8193,-51.1922,41.25,77,20,5.1,GL,2021-06-19 08:07:52
197,Puerto Gaitan,-33.0117,17.9442,63.88,44,1,7.65,ZA,2021-06-19 08:06:31
198,Puerto Gaitan,32.0954,-96.4689,75.15,86,1,0.0,US,2021-06-19 08:07:25
199,Puerto Gaitan,64.3833,-173.3,53.49,61,100,3.94,RU,2021-06-19 08:06:39
200,Puerto Gaitan,-45.5752,-72.0662,28.35,80,0,4.61,CL,2021-06-19 08:07:52
201,Puerto Gaitan,-6.6447,-51.995,68.2,95,78,0.67,BR,2021-06-19 08:06:35
202,Puerto Gaitan,-22.0016,148.0466,60.06,33,9,9.78,AU,2021-06-19 08:07:53
203,Puerto Gaitan,46.6166,10.7002,72.36,67,100,0.25,IT,2021-06-19 08:06:54
204,Puerto Gaitan,57.79,-152.4072,47.71,87,90,9.22,US,2021-06-19 08:05:51
205,Puerto Gaitan,23.3167,88.65,87.94,64,81,12.12,IN,2021-06-19 08:07:53
206,Puerto Gaitan,10.6167,104.1833,89.65,60,89,13.65,KH,2021-06-19 08:07:53
207,Puerto Gaitan,22.2855,114.1577,93.25,85,97,11.01,HK,2021-06-19 08:05:53
208,Puerto Gaitan,-2.9022,-40.8411,74.26,91,44,8.41,BR,2021-06-19 08:05:19
209,Puerto Gaitan,37.7799,-121.978,75.27,58,1,3.44,US,2021-06-19 08:05:51
210,Puerto Gaitan,-35.1,173.7833,62.33,94,100,6.89,NZ,2021-06-19 08:06:47
211,Puerto Gaitan,-38.0023,-57.5575,43.12,54,100,5.75,AR,2021-06-19 08:05:58
212,Puerto Gaitan,14.4439,-0.2361,89.73,40,100,15.39,BF,2021-06-19 08:07:54
213,Puerto Gaitan,-20.0167,148.2333,65.12,47,11,3.85,AU,2021-06-19 08:07:54
214,Puerto Gaitan,-41.8697,-73.8203,35.13,86,30,4.14,CL,2021-06-19 08:07:54
215,Puerto Gaitan,68.75,161.3,50.16,54,24,5.79,RU,2021-06-19 08:06:32
216,Puerto Gaitan,50.5012,14.8042,83.59,56,3,6.4,CZ,2021-06-19 08:07:55
217,Puerto Gaitan,53.8119,49.0916,69.17,57,12,6.26,RU,2021-06-19 08:07:55
218,Puerto Gaitan,64.9225,77.785,46.13,69,100,18.84,RU,2021-06-19 08:07:55
219,Puerto Gaitan,1.1983,-70.1733,69.6,99,71,0.49,CO,2021-06-19 08:07:55
220,Puerto Gaitan,13.1629,32.6635,89.55,42,81,20.65,SD,2021-06-19 08:07:56
221,Puerto Gaitan,42.6667,9.3333,84.0,80,0,8.05,FR,2021-06-19 08:03:46
222,Puerto Gaitan,-14.5428,40.6728,81.34,48,14,11.92,MZ,2021-06-19 08:07:56
223,Puerto Gaitan,28.6585,-17.9182,65.12,71,75,16.11,ES,2021-06-19 08:07:56
224,Puerto Gaitan,58.5169,-117.136,48.31,100,1,0.0,CA,2021-06-19 08:07:56
225,Puerto Gaitan,-37.8811,147.981,52.18,78,92,9.1,AU,2021-06-19 08:07:57
226,Puerto Gaitan,6.4965,2.6036,80.35,82,80,4.29,BJ,2021-06-19 08:07:57
227,Puerto Gaitan,-11.0964,-77.6139,64.06,89,78,7.31,PE,2021-06-19 08:07:57
228,Puerto Gaitan,65.282,-126.8329,56.19,58,93,3.6,CA,2021-06-19 08:06:24
229,Puerto Gaitan,37.7333,-25.6667,65.12,82,20,9.22,PT,2021-06-19 08:07:58
230,Puerto Gaitan,2.9333,11.9833,72.19,91,100,1.16,CM,2021-06-19 08:07:58
231,Puerto Gaitan,-22.45,18.9667,62.37,32,0,19.57,NA,2021-06-19 08:07:58
232,Puerto Gaitan,35.3,70.8333,57.09,21,14,4.23,AF,2021-06-19 08:07:58
233,Puerto Gaitan,36.6439,33.4389,87.53,24,0,2.01,TR,2021-06-19 08:07:58
234,Puerto Gaitan,54.5833,-5.9333,56.37,66,0,3.44,GB,2021-06-19 08:07:59
235,Puerto Gaitan,14.8961,-24.4956,72.03,78,7,10.16,CV,2021-06-19 08:06:50
236,Puerto Gaitan,-20.7333,139.5,60.57,33,100,10.36,AU,2021-06-19 08:07:59
237,Puerto Gaitan,-27.3667,-70.3333,49.69,53,0,2.98,CL,2021-06-19 08:07:59
238,Puerto Gaitan,35.4834,-86.4603,71.44,60,1,1.01,US,2021-06-19 08:08:00
239,Puerto Gaitan,62.2266,-6.589,47.32,91,100,16.82,FO,2021-06-19 08:07:03
240,Puerto Gaitan,35.1333,140.3,72.1,79,100,17.74,JP,2021-06-19 08:08:00
241,Puerto Gaitan,27.9769,-114.0611,63.12,92,3,12.75,MX,2021-06-19 08:05:28
242,Puerto Gaitan,10.6667,122.95,84.15,76,97,13.38,PH,2021-06-19 08:08:00
243,Puerto Gaitan,60.9167,-46.05,44.82,71,100,0.96,GL,2021-06-19 08:08:00
244,Puerto Gaitan,2.8197,-60.6733,75.18,88,20,2.3,BR,2021-06-19 08:08:01
245,Puerto Gaitan,40.5,38.5,43.92,51,1,2.53,TR,2021-06-19 08:08:01
246,Puerto Gaitan,65.5833,-171.0,49.35,68,70,1.66,RU,2021-06-19 08:06:23
247,Puerto Gaitan,31.3525,27.2453,79.09,45,0,7.61,EG,2021-06-19 08:07:21
248,Puerto Gaitan,56.555,76.6271,49.73,73,100,12.97,RU,2021-06-19 08:08:01
249,Puerto Gaitan,43.3236,145.575,51.66,90,90,6.96,JP,2021-06-19 08:06:11
250,Puerto Gaitan,14.906,105.0784,96.04,58,86,7.31,TH,2021-06-19 08:08:01
251,Puerto Gaitan,20.5169,-13.0499,79.66,28,0,14.41,MR,2021-06-19 08:06:07
252,Puerto Gaitan,45.5234,-122.6762,59.14,73,1,1.01,US,2021-06-19 08:05:13
253,Puerto Gaitan,21.35,72.05,94.95,59,94,19.37,IN,2021-06-19 08:08:02
254,Puerto Gaitan,51.9667,5.6667,72.18,83,90,10.36,NL,2021-06-19 08:08:02
255,Puerto Gaitan,66.8333,70.8333,54.52,54,98,3.06,RU,2021-06-19 08:08:02
256,Puerto Gaitan,1.3292,172.9752,82.4,78,40,2.3,KI,2021-06-19 08:08:03
257,Puerto Gaitan,14.3236,99.5161,103.32,38,18,13.56,TH,2021-06-19 08:08:03
258,Puerto Gaitan,20.0058,110.3542,94.89,52,59,7.38,CN,2021-06-19 08:08:03
259,Puerto Gaitan,18.8003,110.3967,91.35,62,56,17.29,CN,2021-06-19 08:07:04
260,Puerto Gaitan,-2.5744,150.7967,81.07,74,90,5.39,PG,2021-06-19 08:05:59
261,Puerto Gaitan,-30.7414,30.455,66.97,65,2,15.82,ZA,2021-06-19 08:08:01
262,Puerto Gaitan,-7.8447,-79.1469,64.56,91,80,4.9,PE,2021-06-19 08:08:03
263,Puerto Gaitan,-33.6971,-53.4616,52.16,83,97,4.12,UY,2021-06-19 08:06:48
264,Puerto Gaitan,18.3851,42.4509,86.52,17,22,5.68,SA,2021-06-19 08:06:28
265,Puerto Gaitan,40.6089,47.1492,98.82,27,0,6.91,AZ,2021-06-19 08:08:04
266,Puerto Gaitan,65.9811,60.3094,55.69,67,100,9.82,RU,2021-06-19 08:08:04
267,Puerto Gaitan,60.7522,-137.5108,49.84,70,100,4.65,CA,2021-06-19 08:07:05
268,Puerto Gaitan,7.1333,40.7,72.84,46,74,6.69,ET,2021-06-19 08:08:04
269,Puerto Gaitan,-5.6667,132.75,81.19,76,99,19.89,ID,2021-06-19 08:08:05
270,Puerto Gaitan,46.8161,134.26,58.89,96,100,2.66,RU,2021-06-19 08:08:05
271,Puerto Gaitan,40.2833,97.2,78.21,23,100,15.14,CN,2021-06-19 08:07:07
272,Puerto Gaitan,17.3333,42.6667,100.56,42,8,7.58,SA,2021-06-19 08:08:05
